time	V(3)	V(6)
2.673960673651255e-004	9.923140e-001	1.093201e+001
2.771616923651255e-004	9.837683e-001	1.084556e+001
2.869273173651255e-004	9.715168e-001	1.071828e+001
2.966929423651255e-004	9.556059e-001	1.055064e+001
3.064585673651255e-004	9.360952e-001	1.034328e+001
3.162241923651256e-004	9.130583e-001	1.009698e+001
3.259898173651256e-004	8.865819e-001	9.812669e+000
3.357554423651256e-004	8.567656e-001	9.491415e+000
3.455210673651256e-004	8.237217e-001	9.134430e+000
3.552866923651256e-004	7.875745e-001	8.743055e+000
3.650523173651256e-004	7.484600e-001	8.318766e+000
3.748179423651256e-004	7.065255e-001	7.863160e+000
3.845835673651256e-004	6.619288e-001	7.377952e+000
3.943491923651256e-004	6.148378e-001	6.864968e+000
4.041148173651256e-004	5.654297e-001	6.326141e+000
4.138804423651256e-004	5.138905e-001	5.763501e+000
4.236460673651257e-004	4.604141e-001	5.179169e+000
4.334116923651257e-004	4.052019e-001	4.575347e+000
4.529429423651257e-004	2.904069e-001	3.318439e+000
4.627085673651257e-004	2.312561e-001	2.670131e+000
4.724741923651257e-004	1.712321e-001	2.011916e+000
4.822398173651257e-004	1.105610e-001	1.346581e+000
4.920054423651257e-004	4.947690e-002	6.787645e-001
5.004096892010328e-004	-3.254798e-003	1.062549e-001
5.101753142010328e-004	-6.455242e-002	-5.653722e-001
5.144342347638691e-004	-9.123639e-002	-8.652217e-001
5.197452230814908e-004	-1.243989e-001	-1.236769e+000
5.256385822663442e-004	-1.609940e-001	-1.640600e+000
5.354042072663442e-004	-2.211087e-001	-2.304009e+000
5.451698322663443e-004	-2.804491e-001	-2.958951e+000
5.647010822663443e-004	-3.957526e-001	-4.232690e+000
5.842323322663443e-004	-5.051154e-001	-5.442625e+000
6.037635822663443e-004	-6.068927e-001	-6.570684e+000
6.232948322663443e-004	-6.995536e-001	-7.599933e+000
6.428260822663443e-004	-7.817045e-001	-8.514905e+000
6.623573322663444e-004	-8.521097e-001	-9.301846e+000
6.818885822663444e-004	-9.097104e-001	-9.948926e+000
7.014198322663444e-004	-9.536401e-001	-1.044642e+001
7.209510822663444e-004	-9.832381e-001	-1.078685e+001
7.404823322663444e-004	-9.980592e-001	-1.096510e+001
7.600135822663444e-004	-9.978805e-001	-1.097849e+001
7.795448322663445e-004	-9.827046e-001	-1.082680e+001
7.990760822663445e-004	-9.527600e-001	-1.051233e+001
8.186073322663445e-004	-9.084968e-001	-1.003980e+001
8.381385822663445e-004	-8.505809e-001	-9.416325e+000
8.576698322663445e-004	-7.798834e-001	-8.651292e+000
8.772010822663445e-004	-6.974677e-001	-7.756216e+000
8.967323322663446e-004	-6.045734e-001	-6.744569e+000
9.162635822663446e-004	-5.025976e-001	-5.631580e+000
9.357948322663446e-004	-3.930743e-001	-4.434016e+000
9.553260822663446e-004	-2.776508e-001	-3.169964e+000
9.650917072663446e-004	-2.182663e-001	-2.518979e+000
9.748573322663446e-004	-1.580635e-001	-1.858739e+000
9.846229572663446e-004	-9.726912e-002	-1.192135e+000
9.943885822663446e-004	-3.612068e-002	-5.247139e-001
1.001015155385016e-003	5.469169e-003	-7.347368e-002
1.010538237886904e-003	6.524095e-002	5.834228e-001
1.014971184746548e-003	9.300920e-002	8.954903e-001
1.020257529441228e-003	1.260061e-001	1.264340e+000
1.026147381518791e-003	1.625613e-001	1.667639e+000
1.035913006518791e-003	2.226371e-001	2.330652e+000
1.045678631518791e-003	2.819282e-001	2.985111e+000
1.065209881518792e-003	3.970985e-001	4.257429e+000
1.074975506518792e-003	4.525445e-001	4.870634e+000
1.084741131518792e-003	5.062842e-001	5.465463e+000
1.094506756518792e-003	5.581153e-001	6.039686e+000
1.104272381518792e-003	6.078428e-001	6.591145e+000
1.114038006518792e-003	6.552795e-001	7.117767e+000
1.123803631518792e-003	7.002470e-001	7.617574e+000
