Freq.	V(o)
Step Information: Sim=1  (Run: 1/4)
9.33254300797003e+001	(-4.65990002929790e+001dB,8.57076125224485e+001°)
9.44060876285936e+001	(-4.64995669512039e+001dB,8.56580980058892e+001°)
9.54992586021448e+001	(-4.64001467320649e+001dB,8.56080167487019e+001°)
9.66050878989826e+001	(-4.63007399376422e+001dB,8.55573624188178e+001°)
9.77237220955824e+001	(-4.62013468768847e+001dB,8.55061286188386e+001°)
9.88553094656952e+001	(-4.61019678657625e+001dB,8.54543088855538e+001°)
1.00000000000001e+002	(-4.60026032274224e+001dB,8.54018966894633e+001°)
1.01157945425991e+002	(-4.59032532923462e+001dB,8.53488854343026e+001°)
1.02329299228077e+002	(-4.58039183985127e+001dB,8.52952684565731e+001°)
1.03514216667936e+002	(-4.57045988915633e+001dB,8.52410390250774e+001°)
1.04712854805091e+002	(-4.56052951249705e+001dB,8.51861903404594e+001°)
1.05925372517730e+002	(-4.55060074602100e+001dB,8.51307155347498e+001°)
1.07151930523762e+002	(-4.54067362669369e+001dB,8.50746076709181e+001°)
1.08392691402122e+002	(-4.53074819231644e+001dB,8.50178597424307e+001°)
1.09647819614320e+002	(-4.52082448154475e+001dB,8.49604646728162e+001°)
1.10917481526242e+002	(-4.51090253390693e+001dB,8.49024153152373e+001°)
1.12201845430198e+002	(-4.50098238982315e+001dB,8.48437044520717e+001°)
1.13501081567233e+002	(-4.49106409062492e+001dB,8.47843247945002e+001°)
1.14815362149690e+002	(-4.48114767857489e+001dB,8.47242689821044e+001°)
1.16144861384036e+002	(-4.47123319688708e+001dB,8.46635295824735e+001°)
1.17489755493955e+002	(-4.46132068974752e+001dB,8.46020990908211e+001°)
1.18850222743704e+002	(-4.45141020233528e+001dB,8.45399699296127e+001°)
1.20226443461743e+002	(-4.44150178084397e+001dB,8.44771344482040e+001°)
1.21618600064639e+002	(-4.43159547250357e+001dB,8.44135849224912e+001°)
1.23026877081240e+002	(-4.42169132560278e+001dB,8.43493135545737e+001°)
1.24451461177140e+002	(-4.41178938951176e+001dB,8.42843124724298e+001°)
1.25892541179419e+002	(-4.40188971470532e+001dB,8.42185737296062e+001°)
1.27350308101668e+002	(-4.39199235278657e+001dB,8.41520893049219e+001°)
1.28824955169315e+002	(-4.38209735651103e+001dB,8.40848511021872e+001°)
1.30316677845232e+002	(-4.37220477981116e+001dB,8.40168509499388e+001°)
1.31825673855643e+002	(-4.36231467782140e+001dB,8.39480806011916e+001°)
1.33352143216334e+002	(-4.35242710690371e+001dB,8.38785317332083e+001°)
1.34896288259167e+002	(-4.34254212467350e+001dB,8.38081959472866e+001°)
1.36458313658895e+002	(-4.33265979002614e+001dB,8.37370647685665e+001°)
1.38038426460291e+002	(-4.32278016316389e+001dB,8.36651296458572e+001°)
1.39636836105596e+002	(-4.31290330562342e+001dB,8.35923819514855e+001°)
1.41253754462278e+002	(-4.30302928030373e+001dB,8.35188129811656e+001°)
1.42889395851113e+002	(-4.29315815149464e+001dB,8.34444139538921e+001°)
1.44543977074595e+002	(-4.28328998490580e+001dB,8.33691760118576e+001°)
1.46217717445674e+002	(-4.27342484769622e+001dB,8.32930902203943e+001°)
1.47910838816823e+002	(-4.26356280850428e+001dB,8.32161475679423e+001°)
1.49623565609446e+002	(-4.25370393747835e+001dB,8.31383389660451e+001°)
1.51356124843623e+002	(-4.24384830630789e+001dB,8.30596552493732e+001°)
1.53108746168206e+002	(-4.23399598825512e+001dB,8.29800871757772e+001°)
1.54881661891251e+002	(-4.22414705818720e+001dB,8.28996254263721e+001°)
1.56675107010818e+002	(-4.21430159260905e+001dB,8.28182606056526e+001°)
1.58489319246114e+002	(-4.20445966969662e+001dB,8.27359832416426e+001°)
1.60324539069007e+002	(-4.19462136933079e+001dB,8.26527837860789e+001°)
1.62181009735896e+002	(-4.18478677313180e+001dB,8.25686526146302e+001°)
1.64058977319957e+002	(-4.17495596449430e+001dB,8.24835800271545e+001°)
1.65958690743759e+002	(-4.16512902862289e+001dB,8.23975562479940e+001°)
1.67880401812259e+002	(-4.15530605256827e+001dB,8.23105714263114e+001°)
1.69824365246177e+002	(-4.14548712526404e+001dB,8.22226156364666e+001°)
1.71790838715762e+002	(-4.13567233756393e+001dB,8.21336788784380e+001°)
1.73780082874941e+002	(-4.12586178227975e+001dB,8.20437510782869e+001°)
1.75792361395872e+002	(-4.11605555421983e+001dB,8.19528220886704e+001°)
1.77827941003895e+002	(-4.10625375022809e+001dB,8.18608816894005e+001°)
1.79887091512882e+002	(-4.09645646922366e+001dB,8.17679195880543e+001°)
1.81970085861002e+002	(-4.08666381224111e+001dB,8.16739254206350e+001°)
1.84077200146899e+002	(-4.07687588247126e+001dB,8.15788887522872e+001°)
1.86208713666290e+002	(-4.06709278530253e+001dB,8.14827990780661e+001°)
1.88364908948983e+002	(-4.05731462836292e+001dB,8.13856458237651e+001°)
1.90546071796328e+002	(-4.04754152156251e+001dB,8.12874183468017e+001°)
1.92752491319097e+002	(-4.03777357713661e+001dB,8.11881059371649e+001°)
1.94984459975808e+002	(-4.02801090968937e+001dB,8.10876978184250e+001°)
1.97242273611489e+002	(-4.01825363623807e+001dB,8.09861831488089e+001°)
1.99526231496892e+002	(-4.00850187625787e+001dB,8.08835510223431e+001°)
2.01836636368160e+002	(-3.99875575172715e+001dB,8.07797904700653e+001°)
2.04173794466957e+002	(-3.98901538717342e+001dB,8.06748904613077e+001°)
2.06538015581057e+002	(-3.97928090971969e+001dB,8.05688399050548e+001°)
2.08929613085408e+002	(-3.96955244913147e+001dB,8.04616276513764e+001°)
2.11348903983668e+002	(-3.95983013786417e+001dB,8.03532424929399e+001°)
2.13796208950227e+002	(-3.95011411111109e+001dB,8.02436731666027e+001°)
2.16271852372706e+002	(-3.94040450685187e+001dB,8.01329083550884e+001°)
2.18776162394959e+002	(-3.93070146590142e+001dB,8.00209366887487e+001°)
2.21309470960568e+002	(-3.92100513195931e+001dB,7.99077467474129e+001°)
2.23872113856838e+002	(-3.91131565165960e+001dB,7.97933270623292e+001°)
2.26464430759310e+002	(-3.90163317462112e+001dB,7.96776661181984e+001°)
2.29086765276782e+002	(-3.89195785349815e+001dB,7.95607523553040e+001°)
2.31739464996852e+002	(-3.88228984403148e+001dB,7.94425741717414e+001°)
2.34422881531997e+002	(-3.87262930509988e+001dB,7.93231199257474e+001°)
2.37137370566170e+002	(-3.86297639877182e+001dB,7.92023779381346e+001°)
2.39883291901954e+002	(-3.85333129035765e+001dB,7.90803364948327e+001°)
2.42661009508246e+002	(-3.84369414846195e+001dB,7.89569838495388e+001°)
2.45470891568508e+002	(-3.83406514503622e+001dB,7.88323082264806e+001°)
2.48313310529562e+002	(-3.82444445543177e+001dB,7.87062978232947e+001°)
2.51188643150963e+002	(-3.81483225845284e+001dB,7.85789408140237e+001°)
2.54097270554935e+002	(-3.80522873640986e+001dB,7.84502253522330e+001°)
2.57039578276891e+002	(-3.79563407517289e+001dB,7.83201395742534e+001°)
2.60015956316532e+002	(-3.78604846422508e+001dB,7.81886716025486e+001°)
2.63026799189543e+002	(-3.77647209671631e+001dB,7.80558095492146e+001°)
2.66072505979886e+002	(-3.76690516951672e+001dB,7.79215415196098e+001°)
2.69153480392697e+002	(-3.75734788327026e+001dB,7.77858556161224e+001°)
2.72270130807797e+002	(-3.74780044244822e+001dB,7.76487399420758e+001°)
2.75422870333822e+002	(-3.73826305540252e+001dB,7.75101826057751e+001°)
2.78612116862983e+002	(-3.72873593441893e+001dB,7.73701717246991e+001°)
2.81838293126451e+002	(-3.71921929577001e+001dB,7.72286954298388e+001°)
2.85101826750397e+002	(-3.70971335976778e+001dB,7.70857418701866e+001°)
2.88403150312666e+002	(-3.70021835081600e+001dB,7.69412992173781e+001°)
2.91742701400123e+002	(-3.69073449746212e+001dB,7.67953556704908e+001°)
2.95120922666645e+002	(-3.68126203244870e+001dB,7.66478994610003e+001°)
2.98538261891802e+002	(-3.67180119276433e+001dB,7.64989188578984e+001°)
3.01995172040208e+002	(-3.66235221969387e+001dB,7.63484021729754e+001°)
3.05492111321558e+002	(-3.65291535886810e+001dB,7.61963377662692e+001°)
3.09029543251365e+002	(-3.64349086031256e+001dB,7.60427140516825e+001°)
3.12607936712402e+002	(-3.63407897849553e+001dB,7.58875195027730e+001°)
3.16227766016844e+002	(-3.62467997237517e+001dB,7.57307426587168e+001°)
3.19889510969146e+002	(-3.61529410544554e+001dB,7.55723721304478e+001°)
3.23593656929635e+002	(-3.60592164578164e+001dB,7.54123966069763e+001°)
3.27340694878845e+002	(-3.59656286608316e+001dB,7.52508048618869e+001°)
3.31131121482598e+002	(-3.58721804371705e+001dB,7.50875857600198e+001°)
3.34965439157835e+002	(-3.57788746075863e+001dB,7.49227282643351e+001°)
3.38844156139210e+002	(-3.56857140403122e+001dB,7.47562214429632e+001°)
3.42767786546458e+002	(-3.55927016514428e+001dB,7.45880544764423e+001°)
3.46736850452539e+002	(-3.54998404052969e+001dB,7.44182166651440e+001°)
3.50751873952575e+002	(-3.54071333147640e+001dB,7.42466974368882e+001°)
3.54813389233583e+002	(-3.53145834416304e+001dB,7.40734863547484e+001°)
3.58921934645013e+002	(-3.52221938968850e+001dB,7.38985731250479e+001°)
3.63078054770109e+002	(-3.51299678410041e+001dB,7.37219476055464e+001°)
3.67282300498093e+002	(-3.50379084842129e+001dB,7.35435998138194e+001°)
3.71535229097181e+002	(-3.49460190867228e+001dB,7.33635199358279e+001°)
3.75837404288452e+002	(-3.48543029589435e+001dB,7.31816983346792e+001°)
3.80189396320569e+002	(-3.47627634616683e+001dB,7.29981255595780e+001°)
3.84591782045362e+002	(-3.46714040062306e+001dB,7.28127923549671e+001°)
3.89045144994289e+002	(-3.45802280546322e+001dB,7.26256896698552e+001°)
3.93550075455786e+002	(-3.44892391196392e+001dB,7.24368086673324e+001°)
3.98107170553506e+002	(-3.43984407648462e+001dB,7.22461407342686e+001°)
4.02717034325468e+002	(-3.43078366047067e+001dB,7.20536774911946e+001°)
4.07380277804122e+002	(-3.42174303045273e+001dB,7.18594108023628e+001°)
4.12097519097339e+002	(-3.41272255804263e+001dB,7.16633327859828e+001°)
4.16869383470345e+002	(-3.40372261992522e+001dB,7.14654358246305e+001°)
4.21696503428592e+002	(-3.39474359784636e+001dB,7.12657125758252e+001°)
4.26579518801602e+002	(-3.38578587859665e+001dB,7.10641559827704e+001°)
4.31519076827775e+002	(-3.37684985399088e+001dB,7.08607592852543e+001°)
4.36515832240176e+002	(-3.36793592084302e+001dB,7.06555160307030e+001°)
4.41570447353323e+002	(-3.35904448093651e+001dB,7.04484200853817e+001°)
4.46683592150973e+002	(-3.35017594098977e+001dB,7.02394656457369e+001°)
4.51855944374933e+002	(-3.34133071261679e+001dB,7.00286472498728e+001°)
4.57088189614886e+002	(-3.33250921228252e+001dB,6.98159597891542e+001°)
4.62381021399271e+002	(-3.32371186125300e+001dB,6.96013985199270e+001°)
4.67735141287209e+002	(-3.31493908554006e+001dB,6.93849590753499e+001°)
4.73151258961492e+002	(-3.30619131584039e+001dB,6.91666374773247e+001°)
4.78630092322650e+002	(-3.29746898746884e+001dB,6.89464301485183e+001°)
4.84172367584111e+002	(-3.28877254028579e+001dB,6.87243339244637e+001°)
4.89778819368458e+002	(-3.28010241861847e+001dB,6.85003460657305e+001°)
4.95450190804802e+002	(-3.27145907117604e+001dB,6.82744642701513e+001°)
5.01187233627284e+002	(-3.26284295095831e+001dB,6.80466866850938e+001°)
5.06990708274716e+002	(-3.25425451515790e+001dB,6.78170119197628e+001°)
5.12861383991377e+002	(-3.24569422505579e+001dB,6.75854390575214e+001°)
5.18800038928974e+002	(-3.23716254591010e+001dB,6.73519676682138e+001°)
5.24807460249785e+002	(-3.22865994683789e+001dB,6.71165978204778e+001°)
5.30884444231001e+002	(-3.22018690068997e+001dB,6.68793300940282e+001°)
5.37031796370266e+002	(-3.21174388391856e+001dB,6.66401655918975e+001°)
5.43250331492446e+002	(-3.20333137643771e+001dB,6.63991059526148e+001°)
5.49540873857638e+002	(-3.19494986147629e+001dB,6.61561533623067e+001°)
5.55904257270417e+002	(-3.18659982542364e+001dB,6.59113105667001e+001°)
5.62341325190363e+002	(-3.17828175766762e+001dB,6.56645808830107e+001°)
5.68852930843855e+002	(-3.16999615042510e+001dB,6.54159682116946e+001°)
5.75439937337171e+002	(-3.16174349856478e+001dB,6.51654770480452e+001°)
5.82103217770886e+002	(-3.15352429942233e+001dB,6.49131124936137e+001°)
5.88843655355603e+002	(-3.14533905260777e+001dB,6.46588802674318e+001°)
