time	V(6)	V(n006)
Step Information: Vdc=-500m  (Run: 1/3)
8.842662644080518e-004	-1.290901e+001	-1.164723e+000
8.868257600315979e-004	-1.277778e+001	-1.152591e+000
9.000938548020849e-004	-1.206156e+001	-1.086884e+000
9.181143303315322e-004	-1.102154e+001	-9.916391e-001
9.376455803315323e-004	-9.816641e+000	-8.814789e-001
9.571768303315323e-004	-8.546941e+000	-7.655809e-001
9.767080803315322e-004	-7.231515e+000	-6.456884e-001
9.962393303315322e-004	-5.890151e+000	-5.236046e-001
1.015770580331532e-003	-4.543042e+000	-4.011657e-001
1.035301830331532e-003	-3.210511e+000	-2.802134e-001
1.045067455331532e-003	-2.556045e+000	-2.208648e-001
1.054833080331532e-003	-1.912820e+000	-1.625669e-001
1.064598705331532e-003	-1.283521e+000	-1.055389e-001
1.074364330331532e-003	-6.724931e-001	-4.999565e-002
1.084129955331532e-003	-8.364257e-002	3.853912e-003
1.093895580331532e-003	4.938888e-001	5.608098e-002
1.098625529766819e-003	7.719654e-001	8.062147e-002
1.104335325217060e-003	1.096407e+000	1.093893e-001
1.110512777394164e-003	1.431292e+000	1.395188e-001
1.120278402394164e-003	1.939317e+000	1.851759e-001
1.130044027394164e-003	2.421330e+000	2.284719e-001
1.139809652394164e-003	2.873358e+000	2.690260e-001
1.149575277394164e-003	3.293772e+000	3.066858e-001
1.159340902394164e-003	3.681035e+000	3.413093e-001
1.169106527394164e-003	4.033697e+000	3.727664e-001
1.178872152394164e-003	4.350440e+000	4.009385e-001
1.188637777394164e-003	4.630075e+000	4.257198e-001
1.198403402394164e-003	4.871555e+000	4.470168e-001
1.208169027394164e-003	5.073974e+000	4.647495e-001
1.217934652394164e-003	5.236571e+000	4.788511e-001
1.227700277394164e-003	5.358738e+000	4.892685e-001
1.237465902394164e-003	5.440016e+000	4.959625e-001
1.247231527394164e-003	5.480100e+000	4.989079e-001
1.256997152394164e-003	5.478842e+000	4.980937e-001
1.266762777394164e-003	5.436248e+000	4.935229e-001
1.276528402394164e-003	5.352479e+000	4.852126e-001
1.286294027394164e-003	5.227854e+000	4.731943e-001
1.296059652394164e-003	5.062842e+000	4.575131e-001
1.305825277394164e-003	4.858066e+000	4.382280e-001
1.315590902394164e-003	4.614300e+000	4.154117e-001
1.325356527394164e-003	4.332463e+000	3.891499e-001
1.335122152394164e-003	4.013619e+000	3.595415e-001
1.344887777394164e-003	3.658973e+000	3.266981e-001
1.354653402394164e-003	3.269868e+000	2.907431e-001
1.364419027394164e-003	2.847780e+000	2.518120e-001
1.374184652394164e-003	2.394320e+000	2.100512e-001
1.383950277394164e-003	1.911244e+000	1.656180e-001
1.393715902394164e-003	1.400523e+000	1.186795e-001
1.403481527394164e-003	8.647091e-001	6.941243e-002
1.413247152394164e-003	3.139318e-001	1.814079e-002
1.420170876995343e-003	-8.706192e-002	-1.932899e-002
1.424436001876421e-003	-3.491145e-001	-4.295367e-002
1.429588126909818e-003	-6.761622e-001	-7.198337e-002
1.434302109513476e-003	-9.742278e-001	-9.894255e-002
1.440282758590064e-003	-1.356036e+000	-1.337348e-001
1.450048383590064e-003	-1.990321e+000	-1.915626e-001
1.459814008590064e-003	-2.635817e+000	-2.504134e-001
1.479345258590064e-003	-3.956296e+000	-3.707082e-001
1.498876508590064e-003	-5.299824e+000	-4.929476e-001
1.518407758590064e-003	-6.646345e+000	-6.152931e-001
1.537939008590064e-003	-7.975641e+000	-7.359045e-001
1.557470258590064e-003	-9.267729e+000	-8.529676e-001
1.577001508590064e-003	-1.050317e+001	-9.647218e-001
1.596532758590064e-003	-1.166334e+001	-1.069486e+000
1.606298383590064e-003	-1.220967e+001	-1.118750e+000
1.616064008590064e-003	-1.272861e+001	-1.165685e+000
1.625829633590064e-003	-1.319447e+001	-1.210590e+000
1.628682914345498e-003	-1.328089e+001	-1.223248e+000
1.630179230094504e-003	-1.329640e+001	-1.229731e+000
