Freq.	V(line_2)
1.00000000000000e+000	(-1.24036409429352e+002dB,8.99283240373899e+001°)
1.02329299228075e+000	(-1.23836409749661e+002dB,8.99266544915493e+001°)
1.04712854805090e+000	(-1.23636410085067e+002dB,8.99249460571193e+001°)
1.07151930523761e+000	(-1.23436410436279e+002dB,8.99231978282774e+001°)
1.09647819614318e+000	(-1.23236410804044e+002dB,8.99214088781027e+001°)
1.12201845430196e+000	(-1.23036411189140e+002dB,8.99195782580841e+001°)
1.14815362149688e+000	(-1.22836411592386e+002dB,8.99177049976175e+001°)
1.17489755493953e+000	(-1.22636412014636e+002dB,8.99157881034915e+001°)
1.20226443461741e+000	(-1.22436412456786e+002dB,8.99138265593605e+001°)
1.23026877081238e+000	(-1.22236412919774e+002dB,8.99118193252065e+001°)
1.25892541179417e+000	(-1.22036413404582e+002dB,8.99097653367869e+001°)
1.28824955169313e+000	(-1.21836413912238e+002dB,8.99076635050710e+001°)
1.31825673855641e+000	(-1.21636414443819e+002dB,8.99055127156625e+001°)
1.34896288259165e+000	(-1.21436415000452e+002dB,8.99033118282086e+001°)
1.38038426460288e+000	(-1.21236415583319e+002dB,8.99010596757957e+001°)
1.41253754462275e+000	(-1.21036416193656e+002dB,8.98987550643306e+001°)
1.44543977074593e+000	(-1.20836416832756e+002dB,8.98963967719076e+001°)
1.47910838816821e+000	(-1.20636417501977e+002dB,8.98939835481609e+001°)
1.51356124843621e+000	(-1.20436418202736e+002dB,8.98915141136015e+001°)
1.54881661891248e+000	(-1.20236418936522e+002dB,8.98889871589393e+001°)
1.58489319246111e+000	(-1.20036419704889e+002dB,8.98864013443888e+001°)
1.62181009735893e+000	(-1.19836420509469e+002dB,8.98837552989591e+001°)
1.65958690743756e+000	(-1.19636421351966e+002dB,8.98810476197271e+001°)
1.69824365246174e+000	(-1.19436422234170e+002dB,8.98782768710937e+001°)
1.73780082874937e+000	(-1.19236423157950e+002dB,8.98754415840232e+001°)
1.77827941003892e+000	(-1.19036424125266e+002dB,8.98725402552645e+001°)
1.81970085860998e+000	(-1.18836425138171e+002dB,8.98695713465542e+001°)
1.86208713666287e+000	(-1.18636426198811e+002dB,8.98665332838015e+001°)
1.90546071796325e+000	(-1.18436427309438e+002dB,8.98634244562536e+001°)
1.94984459975804e+000	(-1.18236428472407e+002dB,8.98602432156422e+001°)
1.99526231496888e+000	(-1.18036429690185e+002dB,8.98569878753100e+001°)
2.04173794466953e+000	(-1.17836430965354e+002dB,8.98536567093166e+001°)
2.08929613085404e+000	(-1.17636432300620e+002dB,8.98502479515238e+001°)
2.13796208950223e+000	(-1.17436433698815e+002dB,8.98467597946597e+001°)
2.18776162394955e+000	(-1.17236435162904e+002dB,8.98431903893608e+001°)
2.23872113856834e+000	(-1.17036436695992e+002dB,8.98395378431920e+001°)
2.29086765276777e+000	(-1.16836438301333e+002dB,8.98358002196440e+001°)
2.34422881531992e+000	(-1.16636439982330e+002dB,8.98319755371064e+001°)
