time	V(file_1)	V(file_1)-V(wh_2)	V(wh_2)
1.600000000000000e-002	-8.693310e-001	-6.177036e-001	-2.516274e-001
1.605902957936640e-002	-8.325195e-001	-5.906976e-001	-2.418219e-001
1.617708873809920e-002	-7.588965e-001	-5.627661e-001	-1.961305e-001
1.641320705556480e-002	-6.116505e-001	-5.544794e-001	-5.717116e-002
1.688544369049600e-002	-3.171586e-001	-5.443235e-001	2.271649e-001
1.700000000000000e-002	-2.457200e-001	-5.142747e-001	2.685547e-001
1.709444732698624e-002	-2.277921e-001	-4.873361e-001	2.595440e-001
1.728334198095872e-002	-1.919363e-001	-4.148833e-001	2.229470e-001
1.766113128890368e-002	-1.202247e-001	-2.536232e-001	1.333985e-001
1.800000000000000e-002	-5.590100e-002	-1.246470e-001	6.874601e-002
1.807555786158899e-002	-7.132214e-002	-1.465256e-001	7.520343e-002
1.822667358476697e-002	-1.021644e-001	-2.057201e-001	1.035557e-001
1.852890503112294e-002	-1.638489e-001	-3.419257e-001	1.780767e-001
1.900000000000000e-002	-2.599980e-001	-5.444205e-001	2.844225e-001
1.906044628927119e-002	-2.267618e-001	-5.079211e-001	2.811593e-001
1.918133886781358e-002	-1.602894e-001	-4.263162e-001	2.660269e-001
1.990669433906791e-002	2.385452e-001	1.093960e-001	1.291492e-001
2.000000000000000e-002	2.898490e-001	1.709516e-001	1.188975e-001
2.009671406283391e-002	3.325301e-001	2.366006e-001	9.592948e-002
2.029014218850173e-002	4.178922e-001	4.143015e-001	3.590722e-003
2.067699843983737e-002	5.886165e-001	8.093132e-001	-2.206967e-001
2.100000000000000e-002	7.311610e-001	1.100161e+000	-3.690000e-001
2.107737125026713e-002	6.962333e-001	1.042851e+000	-3.466177e-001
2.123211375080138e-002	6.263779e-001	8.754070e-001	-2.490291e-001
2.154159875186990e-002	4.866671e-001	4.812070e-001	5.460112e-003
2.200000000000000e-002	2.797310e-001	-6.667525e-002	3.464063e-001
2.206189700021370e-002	2.896666e-001	-5.987000e-002	3.495366e-001
2.218569100064111e-002	3.095377e-001	-5.444309e-002	3.639808e-001
2.292845500320553e-002	4.287647e-001	-6.262544e-002	4.913902e-001
2.300000000000000e-002	4.402490e-001	-5.799714e-002	4.982461e-001
2.309903520034192e-002	4.149800e-001	-7.655638e-002	4.915363e-001
2.329710560102577e-002	3.644419e-001	-1.004044e-001	4.648463e-001
2.369324640239347e-002	2.633658e-001	-1.371243e-001	4.004901e-001
2.400000000000000e-002	1.850970e-001	-1.765897e-001	3.616867e-001
2.407922816027354e-002	1.105906e-001	-2.482238e-001	3.588144e-001
2.423768448082062e-002	-3.842220e-002	-3.848037e-001	3.463815e-001
2.455459712191477e-002	-3.364478e-001	-6.506591e-001	3.142113e-001
2.500000000000000e-002	-7.553060e-001	-1.029126e+000	2.738203e-001
2.506338252821883e-002	-6.990764e-001	-9.623248e-001	2.632485e-001
2.519014758465649e-002	-5.866171e-001	-8.013352e-001	2.147181e-001
2.544367769753182e-002	-3.616987e-001	-4.369065e-001	7.520787e-002
2.595073792328247e-002	8.813830e-002	2.903065e-001	-2.021682e-001
2.600000000000000e-002	1.318410e-001	3.484184e-001	-2.165774e-001
2.609852415343507e-002	1.367431e-001	3.245267e-001	-1.877836e-001
2.629557246030520e-002	1.465472e-001	2.195246e-001	-7.297742e-002
2.668966907404546e-002	1.661555e-001	-3.813407e-002	2.042896e-001
2.700000000000000e-002	1.815960e-001	-1.933373e-001	3.749333e-001
2.707881932274805e-002	1.009880e-001	-2.671458e-001	3.681338e-001
2.723645796824416e-002	-6.022791e-002	-3.988825e-001	3.386546e-001
2.755173525923637e-002	-3.826598e-001	-6.449070e-001	2.622472e-001
2.800000000000000e-002	-8.410970e-001	-1.006029e+000	1.649317e-001
2.806305545819844e-002	-7.858908e-001	-9.454193e-001	1.595285e-001
2.818916637459533e-002	-6.754782e-001	-8.101750e-001	1.346968e-001
2.844138820738909e-002	-4.546532e-001	-5.176488e-001	6.299553e-002
2.894583187297663e-002	-1.300322e-002	6.687218e-002	-7.987540e-002
2.900000000000000e-002	3.442200e-002	1.225805e-001	-8.815848e-002
2.910000000000000e-002	7.711210e-002	1.733784e-001	-9.626631e-002
2.930000000000000e-002	1.624923e-001	2.908656e-001	-1.283733e-001
2.970000000000000e-002	3.332527e-001	5.388126e-001	-2.055599e-001
3.000000000000000e-002	4.613230e-001	7.116382e-001	-2.503152e-001
3.008000000000000e-002	3.367867e-001	5.711265e-001	-2.343398e-001
3.024000000000000e-002	8.771405e-002	2.531139e-001	-1.653999e-001
3.056000000000000e-002	-4.104312e-001	-4.228496e-001	1.241838e-002
3.100000000000000e-002	-1.095381e+000	-1.325095e+000	2.297143e-001
3.106400000000000e-002	-1.033063e+000	-1.260400e+000	2.273374e-001
3.119200000000000e-002	-9.084274e-001	-1.124877e+000	2.164496e-001
3.196000000000000e-002	-1.606127e-001	-2.845802e-001	1.239675e-001
3.200000000000000e-002	-1.216640e-001	-2.431124e-001	1.214484e-001
3.208000000000000e-002	-1.096676e-001	-2.196178e-001	1.099502e-001
3.223999999999999e-002	-8.567480e-002	-1.460060e-001	6.033121e-002
3.255999999999998e-002	-3.768920e-002	2.996303e-002	-6.765223e-002
3.300000000000000e-002	2.829100e-002	2.523404e-001	-2.240494e-001
3.306400000000000e-002	4.916921e-002	2.582511e-001	-2.090819e-001
3.319199999999999e-002	9.092563e-002	2.314475e-001	-1.405219e-001
3.344799999999999e-002	1.744385e-001	1.195341e-001	5.490432e-002
3.395999999999996e-002	3.414641e-001	-1.003720e-001	4.418362e-001
3.400000000000000e-002	3.545130e-001	-1.031860e-001	4.576990e-001
3.408000000000006e-002	4.023360e-001	-3.939721e-002	4.417332e-001
3.424000000000019e-002	4.979821e-001	1.251472e-001	3.728349e-001
3.456000000000046e-002	6.892743e-001	4.941504e-001	1.951238e-001
3.500000000000000e-002	9.523010e-001	9.743421e-001	-2.204106e-002
3.506400000000005e-002	8.943246e-001	9.259917e-001	-3.166708e-002
3.519200000000015e-002	7.783719e-001	8.541318e-001	-7.575997e-002
3.544800000000037e-002	5.464663e-001	7.479104e-001	-2.014441e-001
3.596000000000079e-002	8.265524e-002	5.329462e-001	-4.502909e-001
3.600000000000000e-002	4.642000e-002	5.069128e-001	-4.604928e-001
