time	V(3)	V(6)
Step Information: Voutoff=0  (Run: 1/7)
1.045678631428435e-003	2.819282e-001	2.985111e+000
1.065209881428435e-003	3.970985e-001	4.257429e+000
1.074975506428435e-003	4.525445e-001	4.870634e+000
1.084741131428435e-003	5.062842e-001	5.465463e+000
1.094506756428435e-003	5.581153e-001	6.039686e+000
1.104272381428435e-003	6.078428e-001	6.591145e+000
1.114038006428435e-003	6.552795e-001	7.117767e+000
1.123803631428435e-003	7.002470e-001	7.617574e+000
1.133569256428435e-003	7.425758e-001	8.088684e+000
1.143334881428435e-003	7.821068e-001	8.529326e+000
1.153100506428435e-003	8.186912e-001	8.937843e+000
1.162866131428435e-003	8.521912e-001	9.312696e+000
1.172631756428435e-003	8.824807e-001	9.652476e+000
1.182397381428435e-003	9.094458e-001	9.955905e+000
1.192163006428435e-003	9.329850e-001	1.022184e+001
1.201928631428435e-003	9.530096e-001	1.044928e+001
1.211694256428435e-003	9.694443e-001	1.063738e+001
1.221459881428435e-003	9.822273e-001	1.078542e+001
1.231225506428435e-003	9.913104e-001	1.089284e+001
1.240991131428435e-003	9.966595e-001	1.095926e+001
1.250756756428435e-003	9.982544e-001	1.098440e+001
1.260522381428435e-003	9.960891e-001	1.096819e+001
1.270288006428435e-003	9.901717e-001	1.091069e+001
1.280053631428435e-003	9.805247e-001	1.081210e+001
1.289819256428435e-003	9.671841e-001	1.067281e+001
1.299584881428435e-003	9.502002e-001	1.049334e+001
1.309350506428435e-003	9.296371e-001	1.027436e+001
1.319116131428435e-003	9.055720e-001	1.001670e+001
1.328881756428435e-003	8.780956e-001	9.721333e+000
1.338647381428435e-003	8.473112e-001	9.389366e+000
1.348413006428435e-003	8.133348e-001	9.022050e+000
1.358178631428435e-003	7.762942e-001	8.620770e+000
1.367944256428435e-003	7.363287e-001	8.187035e+000
1.377709881428435e-003	6.935890e-001	7.722478e+000
1.387475506428435e-003	6.482357e-001	7.228849e+000
1.397241131428435e-003	6.004397e-001	6.708007e+000
1.407006756428435e-003	5.503807e-001	6.161912e+000
