time	V(wh_1)	V(wh_1)-V(wh_2)	V(wh_2)
6.504857597034429e-002	-2.387669e-002	4.145076e-002	-6.532745e-002
6.604857597034429e-002	-6.532745e-002	-1.019469e-001	3.661941e-002
6.704857597034429e-002	3.661941e-002	-1.436564e-001	1.802758e-001
6.804857597034429e-002	1.802758e-001	1.243921e-001	5.588372e-002
6.904857597034429e-002	5.588372e-002	1.125393e-001	-5.665556e-002
7.004857597034429e-002	-5.665556e-002	-1.296601e-001	7.300454e-002
7.104857597034429e-002	7.300454e-002	1.183010e-001	-4.529651e-002
7.204857597034430e-002	-4.529651e-002	1.634686e-001	-2.087651e-001
7.304857597034430e-002	-2.087651e-001	-1.420004e-001	-6.676470e-002
7.404857597034430e-002	-6.676470e-002	1.042189e-002	-7.718658e-002
7.504857597034430e-002	-7.718658e-002	1.920240e-001	-2.692106e-001
7.604857597034430e-002	-2.692106e-001	1.313727e-001	-4.005833e-001
7.704857597034430e-002	-4.005833e-001	-1.646154e-001	-2.359679e-001
7.804857597034430e-002	-2.359679e-001	-3.689805e-001	1.330125e-001
7.904857597034430e-002	1.330125e-001	-1.285146e-001	2.615271e-001
8.004857597034430e-002	2.615271e-001	7.865787e-002	1.828693e-001
8.104857597034430e-002	1.828693e-001	4.297371e-002	1.398955e-001
8.204857597034430e-002	1.398955e-001	4.028668e-002	9.960886e-002
8.304857597034430e-002	9.960886e-002	1.501527e-001	-5.054384e-002
8.404857597034431e-002	-5.054384e-002	6.309300e-002	-1.136368e-001
8.504857597034431e-002	-1.136368e-001	3.844380e-002	-1.520806e-001
8.604857597034431e-002	-1.520806e-001	5.423924e-002	-2.063199e-001
8.704857597034431e-002	-2.063199e-001	-1.420271e-001	-6.429282e-002
8.804857597034431e-002	-6.429282e-002	-7.136623e-002	7.073408e-003
8.904857597034431e-002	7.073408e-003	3.560874e-003	3.512535e-003
9.004857597034431e-002	3.512535e-003	-3.053470e-002	3.404724e-002
9.104857597034431e-002	3.404724e-002	4.600608e-002	-1.195884e-002
9.204857597034431e-002	-1.195884e-002	-5.835789e-003	-6.123051e-003
9.304857597034431e-002	-6.123051e-003	-4.702467e-002	4.090162e-002
9.404857597034431e-002	4.090162e-002	-8.763943e-002	1.285411e-001
9.504857597034432e-002	1.285411e-001	-4.100829e-002	1.695493e-001
9.604857597034432e-002	1.695493e-001	1.767819e-001	-7.232577e-003
9.704857597034432e-002	-7.232577e-003	1.200964e-002	-1.924221e-002
9.804857597034432e-002	-1.924221e-002	-1.329980e-001	1.137558e-001
9.904857597034432e-002	1.137558e-001	1.010500e-001	1.270581e-002
1.000485759703443e-001	1.270581e-002	7.162295e-002	-5.891714e-002
1.010485759703443e-001	-5.891714e-002	-1.050218e-001	4.610464e-002
1.020485759703443e-001	4.610464e-002	-8.334675e-002	1.294514e-001
1.030485759703443e-001	1.294514e-001	-6.229208e-002	1.917435e-001
1.040485759703443e-001	1.917435e-001	-1.078469e-001	2.995904e-001
1.050485759703443e-001	2.995904e-001	8.697011e-002	2.126203e-001
1.060485759703443e-001	2.126203e-001	3.198320e-001	-1.072118e-001
1.070485759703443e-001	-1.072118e-001	1.452702e-001	-2.524819e-001
1.080485759703443e-001	-2.524819e-001	-1.582811e-001	-9.420085e-002
1.090485759703443e-001	-9.420085e-002	-2.766130e-001	1.824121e-001
1.100485759703443e-001	1.824121e-001	5.309150e-003	1.771030e-001
1.110485759703443e-001	1.771030e-001	1.331659e-001	4.393709e-002
1.120485759703443e-001	4.393709e-002	7.468693e-003	3.646839e-002
1.130485759703443e-001	3.646839e-002	1.412818e-001	-1.048134e-001
1.140485759703443e-001	-1.048134e-001	-2.121193e-002	-8.360146e-002
1.150485759703443e-001	-8.360146e-002	-2.022242e-001	1.186227e-001
1.160485759703443e-001	1.186227e-001	-1.348098e-001	2.534325e-001
1.170485759703443e-001	2.534325e-001	-4.487327e-002	2.983057e-001
1.180485759703443e-001	2.983057e-001	6.433216e-002	2.339736e-001
1.190485759703443e-001	2.339736e-001	-1.459536e-002	2.485690e-001
1.200485759703443e-001	2.485690e-001	3.251010e-002	2.160589e-001
1.210485759703443e-001	2.160589e-001	2.617126e-001	-4.565378e-002
1.220485759703443e-001	-4.565378e-002	2.206643e-001	-2.663181e-001
1.230485759703443e-001	-2.663181e-001	-1.679870e-001	-9.833100e-002
1.240485759703443e-001	-9.833100e-002	-2.438172e-001	1.454862e-001
1.250485759703443e-001	1.454862e-001	-2.621958e-002	1.717058e-001
1.260485759703443e-001	1.717058e-001	-8.092529e-002	2.526311e-001
1.270485759703443e-001	2.526311e-001	9.859040e-002	1.540407e-001
1.280485759703443e-001	1.540407e-001	2.267765e-001	-7.273579e-002
1.290485759703443e-001	-7.273579e-002	-2.868979e-002	-4.404600e-002
1.300485759703443e-001	-4.404600e-002	-9.608473e-002	5.203873e-002
1.310485759703443e-001	5.203873e-002	3.004926e-002	2.198947e-002
1.320485759703443e-001	2.198947e-002	2.224396e-001	-2.004501e-001
1.330485759703443e-001	-2.004501e-001	5.066508e-002	-2.511152e-001
1.340485759703443e-001	-2.511152e-001	-1.932270e-001	-5.788821e-002
1.350485759703443e-001	-5.788821e-002	-1.221581e-001	6.426986e-002
1.360485759703443e-001	6.426986e-002	-1.519981e-001	2.162679e-001
1.370485759703443e-001	2.162679e-001	2.688904e-002	1.893789e-001
1.380485759703443e-001	1.893789e-001	2.664990e-001	-7.712016e-002
1.390485759703443e-001	-7.712016e-002	3.369072e-002	-1.108109e-001
1.400485759703443e-001	-1.108109e-001	-2.491757e-001	1.383649e-001
1.410485759703443e-001	1.383649e-001	-2.160805e-001	3.544453e-001
