Freq.	V(line_2)
1.00000000000000e+000	(-8.59746057020771e+001dB,8.99539200099351e+001°)
1.02329299228075e+000	(-8.57746058344649e+001dB,8.99528466695613e+001°)
1.04712854805090e+000	(-8.55746059730919e+001dB,8.99517483279128e+001°)
1.07151930523761e+000	(-8.53746061182521e+001dB,8.99506244026375e+001°)
1.09647819614318e+000	(-8.51746062702536e+001dB,8.99494742978187e+001°)
1.12201845430196e+000	(-8.49746064294186e+001dB,8.99482974036594e+001°)
1.14815362149688e+000	(-8.47746065960849e+001dB,8.99470930961588e+001°)
1.17489755493953e+000	(-8.45746067706058e+001dB,8.99458607367812e+001°)
1.20226443461741e+000	(-8.43746069533518e+001dB,8.99445996721180e+001°)
1.23026877081238e+000	(-8.41746071447102e+001dB,8.99433092335409e+001°)
1.25892541179417e+000	(-8.39746073450871e+001dB,8.99419887368476e+001°)
1.28824955169313e+000	(-8.37746075549074e+001dB,8.99406374818988e+001°)
1.31825673855641e+000	(-8.35746077746163e+001dB,8.99392547522472e+001°)
1.34896288259165e+000	(-8.33746080046797e+001dB,8.99378398147579e+001°)
1.38038426460288e+000	(-8.31746082455856e+001dB,8.99363919192190e+001°)
1.41253754462275e+000	(-8.29746084978451e+001dB,8.99349102979446e+001°)
1.44543977074593e+000	(-8.27746087619932e+001dB,8.99333941653674e+001°)
1.47910838816821e+000	(-8.25746090385902e+001dB,8.99318427176224e+001°)
1.51356124843621e+000	(-8.23746093282228e+001dB,8.99302551321206e+001°)
1.54881661891248e+000	(-8.21746096315053e+001dB,8.99286305671128e+001°)
1.58489319246111e+000	(-8.19746099490811e+001dB,8.99269681612436e+001°)
1.62181009735893e+000	(-8.17746102816237e+001dB,8.99252670330946e+001°)
1.65958690743756e+000	(-8.15746106298386e+001dB,8.99235262807173e+001°)
1.69824365246174e+000	(-8.13746109944642e+001dB,8.99217449811544e+001°)
1.73780082874937e+000	(-8.11746113762742e+001dB,8.99199221899512e+001°)
1.77827941003892e+000	(-8.09746117760782e+001dB,8.99180569406543e+001°)
1.81970085860998e+000	(-8.07746121947244e+001dB,8.99161482442999e+001°)
1.86208713666287e+000	(-8.05746126331007e+001dB,8.99141950888887e+001°)
1.90546071796325e+000	(-8.03746130921371e+001dB,8.99121964388500e+001°)
1.94984459975804e+000	(-8.01746135728070e+001dB,8.99101512344927e+001°)
1.99526231496888e+000	(-7.99746140761302e+001dB,8.99080583914432e+001°)
2.04173794466953e+000	(-7.97746146031743e+001dB,8.99059168000706e+001°)
2.08929613085404e+000	(-7.95746151550571e+001dB,8.99037253248990e+001°)
2.13796208950223e+000	(-7.93746157329492e+001dB,8.99014828040048e+001°)
2.18776162394955e+000	(-7.91746163380765e+001dB,8.98991880484012e+001°)
2.23872113856834e+000	(-7.89746169717225e+001dB,8.98968398414079e+001°)
2.29086765276777e+000	(-7.87746176352311e+001dB,8.98944369380060e+001°)
2.34422881531992e+000	(-7.85746183300099e+001dB,8.98919780641783e+001°)
2.39883291901949e+000	(-7.83746190575325e+001dB,8.98894619162334e+001°)
2.45470891568503e+000	(-7.81746198193420e+001dB,8.98868871601153e+001°)
2.51188643150958e+000	(-7.79746206170543e+001dB,8.98842524306959e+001°)
2.57039578276886e+000	(-7.77746214523615e+001dB,8.98815563310513e+001°)
2.63026799189538e+000	(-7.75746223270354e+001dB,8.98787974317215e+001°)
2.69153480392691e+000	(-7.73746232429312e+001dB,8.98759742699529e+001°)
2.75422870333816e+000	(-7.71746242019916e+001dB,8.98730853489226e+001°)
2.81838293126445e+000	(-7.69746252062509e+001dB,8.98701291369451e+001°)
2.88403150312660e+000	(-7.67746262578393e+001dB,8.98671040666609e+001°)
