time	V(3)	V(6)
Step Information: Voutoff=0  (Run: 1/9)
3.953187787990908e-003	-2.905566e-001	-3.245840e-001
3.961998015486449e-003	-2.372957e-001	2.605751e-001
3.967329843712033e-003	-2.046666e-001	6.252246e-001
3.973059079105291e-003	-1.693015e-001	1.017467e+000
3.979169147492027e-003	-1.313306e-001	1.434693e+000
3.988934772492027e-003	-7.029587e-002	2.105973e+000
3.998700397492026e-003	-9.050287e-003	2.779646e+000
4.018231647492026e-003	1.133032e-001	4.126540e+000
4.037762897492025e-003	2.339405e-001	5.456261e+000
4.057294147492025e-003	3.510472e-001	6.748903e+000
4.067059772492025e-003	4.077232e-001	7.375224e+000
4.076825397492025e-003	4.628617e-001	7.985054e+000
4.086591022492024e-003	5.162551e-001	8.576099e+000
4.096356647492024e-003	5.677025e-001	9.146134e+000
4.106122272492024e-003	6.170102e-001	9.693016e+000
4.115887897492024e-003	6.639926e-001	1.021468e+001
4.125653522492024e-003	7.084729e-001	1.070918e+001
4.135419147492023e-003	7.502837e-001	1.117463e+001
4.145184772492023e-003	7.892676e-001	1.160930e+001
4.154950397492023e-003	8.252779e-001	1.201154e+001
4.164716022492023e-003	8.581790e-001	1.237984e+001
4.174481647492023e-003	8.878472e-001	1.271282e+001
4.184247272492022e-003	9.141707e-001	1.300922e+001
4.194012897492022e-003	9.370506e-001	1.326793e+001
4.203778522492022e-003	9.564005e-001	1.348798e+001
4.213544147492022e-003	9.721478e-001	1.366853e+001
4.223309772492022e-003	9.842332e-001	1.380891e+001
4.233075397492021e-003	9.926112e-001	1.390857e+001
4.242841022492021e-003	9.972501e-001	1.396714e+001
4.252606647492021e-003	9.981328e-001	1.398448e+001
4.262372272492021e-003	9.952557e-001	1.396048e+001
4.272137897492020e-003	9.886297e-001	1.389516e+001
4.281903522492020e-003	9.782797e-001	1.378880e+001
4.291669147492020e-003	9.642447e-001	1.364185e+001
4.301434772492020e-003	9.465775e-001	1.345483e+001
4.311200397492020e-003	9.253447e-001	1.322845e+001
4.320966022492019e-003	9.006261e-001	1.296356e+001
4.330731647492019e-003	8.725147e-001	1.266116e+001
4.340497272492019e-003	8.411164e-001	1.232239e+001
4.350262897492019e-003	8.065493e-001	1.194852e+001
4.360028522492019e-003	7.689435e-001	1.154096e+001
4.369794147492018e-003	7.284408e-001	1.110124e+001
4.379559772492018e-003	6.851932e-001	1.063103e+001
4.389325397492018e-003	6.393638e-001	1.013208e+001
4.399091022492018e-003	5.911250e-001	9.606275e+000
4.408856647492018e-003	5.406584e-001	9.055597e+000
4.418622272492017e-003	4.881538e-001	8.482118e+000
4.428387897492017e-003	4.338090e-001	7.887994e+000
4.438153522492017e-003	3.778284e-001	7.275464e+000
4.457684772492017e-003	2.618082e-001	6.004467e+000
4.477216022492016e-003	1.418383e-001	4.688260e+000
4.496747272492016e-003	1.972313e-002	3.346690e+000
4.506512897492015e-003	-4.156541e-002	2.672732e+000
4.516278522492015e-003	-1.027004e-001	2.000100e+000
4.526044147492015e-003	-1.634517e-001	1.331487e+000
4.535809772492015e-003	-2.235900e-001	6.701279e-001
4.545575397492015e-003	-2.829660e-001	2.495649e-002
4.552459689135059e-003	-3.242784e-001	-4.225355e-001
4.556355501524995e-003	-3.473651e-001	-6.822265e-001
4.561048611787306e-003	-3.748554e-001	-9.958032e-001
4.565863065450241e-003	-4.027030e-001	-1.306726e+000
4.571871270974234e-003	-4.368333e-001	-1.685209e+000
4.581636895974234e-003	-4.909843e-001	-2.285282e+000
4.591402520974234e-003	-5.434439e-001	-2.866659e+000
4.601168145974234e-003	-5.938609e-001	-3.425795e+000
4.610933770974234e-003	-6.420456e-001	-3.960675e+000
4.620699395974233e-003	-6.878169e-001	-4.469308e+000
4.630465020974233e-003	-7.310023e-001	-4.949820e+000
4.640230645974233e-003	-7.714393e-001	-5.400401e+000
4.649996270974233e-003	-8.089758e-001	-5.819366e+000
4.659761895974232e-003	-8.434705e-001	-6.205140e+000
4.669527520974232e-003	-8.747935e-001	-6.556273e+000
4.679293145974232e-003	-9.028269e-001	-6.871447e+000
4.689058770974232e-003	-9.274653e-001	-7.149475e+000
4.698824395974232e-003	-9.486160e-001	-7.389313e+000
4.708590020974231e-003	-9.661992e-001	-7.590059e+000
4.718355645974231e-003	-9.801489e-001	-7.750958e+000
4.728121270974231e-003	-9.904125e-001	-7.871407e+000
4.737886895974231e-003	-9.969513e-001	-7.950951e+000
4.747652520974231e-003	-9.997409e-001	-7.989292e+000
4.757418145974230e-003	-9.987707e-001	-7.986286e+000
4.767183770974230e-003	-9.940442e-001	-7.941946e+000
4.776949395974230e-003	-9.855795e-001	-7.856439e+000
4.786715020974230e-003	-9.734082e-001	-7.730086e+000
4.796480645974230e-003	-9.575762e-001	-7.563366e+000
4.806246270974229e-003	-9.381431e-001	-7.356906e+000
4.816011895974229e-003	-9.151820e-001	-7.111484e+000
4.825777520974229e-003	-8.887793e-001	-6.828024e+000
4.835543145974229e-003	-8.590345e-001	-6.507596e+000
4.845308770974229e-003	-8.260595e-001	-6.151406e+000
4.855074395974228e-003	-7.899783e-001	-5.760798e+000
4.864840020974228e-003	-7.509269e-001	-5.337243e+000
4.874605645974228e-003	-7.090521e-001	-4.882339e+000
4.884371270974228e-003	-6.645116e-001	-4.397806e+000
4.894136895974227e-003	-6.174730e-001	-3.885475e+000
4.903902520974227e-003	-5.681134e-001	-3.347290e+000
4.913668145974227e-003	-5.166187e-001	-2.785309e+000
4.923433770974227e-003	-4.631825e-001	-2.201721e+000
4.933199395974227e-003	-4.080063e-001	-1.599000e+000
4.942965020974226e-003	-3.512996e-001	-9.818618e-001
4.952730645974226e-003	-2.932786e-001	-3.534874e-001
4.962398697462286e-003	-2.348487e-001	2.871153e-001
4.967268820606158e-003	-2.050474e-001	6.202071e-001
4.973050338984209e-003	-1.693550e-001	1.016821e+000
4.979158439931712e-003	-1.313972e-001	1.433970e+000
4.988924064931712e-003	-7.036292e-002	2.105234e+000
4.998689689931711e-003	-9.117498e-003	2.778907e+000
5.018220939931711e-003	1.132365e-001	4.125804e+000
5.037752189931711e-003	2.338752e-001	5.455540e+000
5.057283439931710e-003	3.509842e-001	6.748208e+000
5.067049064931710e-003	4.076619e-001	7.374546e+000
5.076814689931710e-003	4.628022e-001	7.984396e+000
5.086580314931710e-003	5.161976e-001	8.575462e+000
5.096345939931709e-003	5.676472e-001	9.145522e+000
5.106111564931709e-003	6.169574e-001	9.692430e+000
5.115877189931709e-003	6.639425e-001	1.021413e+001
5.125642814931709e-003	7.084256e-001	1.070865e+001
5.135408439931708e-003	7.502394e-001	1.117414e+001
5.145174064931708e-003	7.892265e-001	1.160884e+001
5.154939689931708e-003	8.252401e-001	1.201112e+001
5.164705314931708e-003	8.581447e-001	1.237946e+001
5.174470939931708e-003	8.878164e-001	1.271248e+001
5.184236564931707e-003	9.141437e-001	1.300892e+001
5.194002189931707e-003	9.370273e-001	1.326767e+001
5.203767814931707e-003	9.563813e-001	1.348776e+001
