time	V(a)	I(I1)
1.000003613839249e-005	-3.593989e-003	3.613839e-002
1.000005095738575e-005	-5.058051e-003	5.095739e-002
1.000006454184215e-005	-6.394976e-003	6.454184e-002
1.000008088353264e-005	-7.996254e-003	8.088353e-002
1.000010076531298e-005	-9.934549e-003	1.007653e-001
1.000012620105276e-005	-1.239880e-002	1.262010e-001
1.000015753239841e-005	-1.541052e-002	1.575324e-001
1.000019715676142e-005	-1.918222e-002	1.971568e-001
1.000024627034585e-005	-2.380021e-002	2.462703e-001
1.000030819293509e-005	-2.953395e-002	3.081929e-001
1.000038539519641e-005	-3.654654e-002	3.853952e-001
1.000048271346204e-005	-4.517601e-002	4.827135e-001
1.000060471045176e-005	-5.567169e-002	6.047105e-001
1.000075887113225e-005	-6.856331e-002	7.588711e-001
1.000080547971732e-005	-7.235304e-002	8.054797e-001
1.000089869688746e-005	-7.973251e-002	8.986969e-001
1.000100000000000e-005	-8.762278e-002	1.000000e+000
1.000107091217878e-005	-7.896983e-002	9.290878e-001
1.000115195466881e-005	-6.932752e-002	8.480453e-001
1.000131403964887e-005	-5.080544e-002	6.859604e-001
1.000163820960900e-005	-1.524572e-002	3.617904e-001
1.000167555306614e-005	-1.131317e-002	3.244469e-001
1.000175023998042e-005	-3.734464e-003	2.497600e-001
1.000185062617144e-005	6.207478e-003	1.493738e-001
1.000200000000000e-005	2.067886e-002	6.968870e-013
1.000227100680324e-005	1.922462e-002	2.626164e-013
1.000254201360649e-005	1.786307e-002	-6.008248e-014
1.000281302040973e-005	1.659419e-002	-2.712095e-013
1.000308402721297e-005	1.541799e-002	-3.707648e-013
1.000335503401622e-005	1.433447e-002	-3.587483e-013
1.000362604081946e-005	1.334363e-002	-2.351601e-013
1.000389704762271e-005	1.244547e-002	0.000000e+000
1.000528530515565e-005	8.423656e-003	0.000000e+000
1.000668359377785e-005	5.510461e-003	0.000000e+000
1.000800891894383e-005	3.602196e-003	0.000000e+000
1.000942070647037e-005	2.194555e-003	0.000000e+000
1.001073227369231e-005	1.276479e-003	0.000000e+000
1.001189717653238e-005	6.963820e-004	0.000000e+000
1.001293448825986e-005	3.151968e-004	0.000000e+000
1.001377627467990e-005	7.721220e-005	0.000000e+000
1.001447607012335e-005	-8.053058e-005	0.000000e+000
1.001512932606813e-005	-1.979817e-004	0.000000e+000
1.001629232326019e-005	-3.601465e-004	0.000000e+000
1.001757285728398e-005	-4.898470e-004	0.000000e+000
1.001932427509910e-005	-6.063261e-004	0.000000e+000
1.002115204553825e-005	-6.786638e-004	0.000000e+000
1.002353335198715e-005	-7.257605e-004	0.000000e+000
1.002613384369322e-005	-7.443791e-004	0.000000e+000
1.002956591836175e-005	-7.426774e-004	0.000000e+000
1.003357543442555e-005	-7.255385e-004	0.000000e+000
1.004671003486976e-005	-6.478415e-004	0.000000e+000
1.005907124194265e-005	-5.795732e-004	0.000000e+000
1.008102189515098e-005	-4.784374e-004	0.000000e+000
1.012492320156765e-005	-3.234404e-004	0.000000e+000
1.016867354764292e-005	-2.130827e-004	0.000000e+000
1.020788731597141e-005	-1.467813e-004	0.000000e+000
1.024947046680705e-005	-9.928972e-005	0.000000e+000
1.028967889552886e-005	-6.794031e-005	0.000000e+000
1.033161097117604e-005	-4.576933e-005	0.000000e+000
1.037211838194271e-005	-3.121131e-005	0.000000e+000
1.041370354377865e-005	-2.108902e-005	0.000000e+000
1.045432500659676e-005	-1.436990e-005	0.000000e+000
1.049577236682381e-005	-9.721819e-006	0.000000e+000
1.053653530788585e-005	-6.616143e-006	0.000000e+000
1.057787985102568e-005	-4.479967e-006	0.000000e+000
1.061872765224645e-005	-3.046582e-006	0.000000e+000
1.065999496865048e-005	-2.064311e-006	0.000000e+000
1.070090559809904e-005	-1.403068e-006	0.000000e+000
1.074211994881752e-005	-9.511328e-007	0.000000e+000
1.078307922702196e-005	-6.461900e-007	0.000000e+000
1.082425359665630e-005	-4.381995e-007	0.000000e+000
1.086524581714807e-005	-2.976238e-007	0.000000e+000
1.090639173434432e-005	-2.018768e-007	0.000000e+000
1.094740781575415e-005	-1.370858e-007	0.000000e+000
1.098853364397328e-005	-9.300081e-008	0.000000e+000
1.102956666572074e-005	-6.314360e-008	0.000000e+000
1.107067815725107e-005	-4.284275e-008	0.000000e+000
1.111172322995116e-005	-2.908538e-008	0.000000e+000
1.115282453612091e-005	-1.973608e-008	0.000000e+000
1.119387818798234e-005	-1.339757e-008	0.000000e+000
1.123497225112356e-005	-9.091585e-009	0.000000e+000
1.127603200355078e-005	-6.177321e-009	0.000000e+000
1.131841543742684e-005	-4.171487e-009	0.000000e+000
1.136903228055940e-005	-2.622504e-009	0.000000e+000
1.142572688275228e-005	-1.557965e-009	0.000000e+000
1.149380756299682e-005	-8.359715e-010	0.000000e+000
1.157252267106866e-005	-4.072189e-010	0.000000e+000
1.177125542113041e-005	-5.926163e-011	0.000000e+000
1.217125542113041e-005	-1.043799e-012	0.000000e+000
2.000000000000000e-005	0.000000e+000	0.000000e+000
2.000000220000000e-005	-2.197664e-004	2.200000e-003
2.000000660000000e-005	-6.590525e-004	6.600000e-003
2.000001051085931e-005	-1.049130e-003	1.051086e-002
2.000001491657397e-005	-1.487927e-003	1.491657e-002
2.000002372800329e-005	-2.363774e-003	2.372800e-002
2.000003613839248e-005	-3.593989e-003	3.613839e-002
2.000005095738574e-005	-5.058051e-003	5.095739e-002
2.000006454184215e-005	-6.394976e-003	6.454184e-002
2.000008088353263e-005	-7.996254e-003	8.088353e-002
2.000010076531297e-005	-9.934549e-003	1.007653e-001
2.000012620105275e-005	-1.239880e-002	1.262010e-001
2.000015753239840e-005	-1.541052e-002	1.575324e-001
2.000019715676140e-005	-1.918222e-002	1.971568e-001
2.000024627034583e-005	-2.380021e-002	2.462703e-001
2.000030819293507e-005	-2.953395e-002	3.081929e-001
2.000038539519639e-005	-3.654654e-002	3.853952e-001
2.000048271346201e-005	-4.517601e-002	4.827135e-001
2.000060471045172e-005	-5.567169e-002	6.047105e-001
2.000075887113220e-005	-6.856331e-002	7.588711e-001
2.000080547971733e-005	-7.235304e-002	8.054797e-001
2.000089869688759e-005	-7.973251e-002	8.986969e-001
