Freq.	V(line_2)
1.00000000000000e+000	(-9.00570066652638e+001dB,8.99442000176415e+001°)
1.02329299228075e+000	(-8.98570068593931e+001dB,8.99429002699340e+001°)
1.04712854805090e+000	(-8.96570070626714e+001dB,8.99415702472739e+001°)
1.07151930523761e+000	(-8.94570072755300e+001dB,8.99402092444715e+001°)
1.09647819614318e+000	(-8.92570074984202e+001dB,8.99388165399113e+001°)
1.12201845430196e+000	(-8.90570077318149e+001dB,8.99373913951692e+001°)
1.14815362149688e+000	(-8.88570079762091e+001dB,8.99359330546220e+001°)
1.17489755493953e+000	(-8.86570082321213e+001dB,8.99344407450455e+001°)
1.20226443461741e+000	(-8.84570085000942e+001dB,8.99329136752058e+001°)
1.23026877081238e+000	(-8.82570087806963e+001dB,8.99313510354387e+001°)
1.25892541179417e+000	(-8.80570090745228e+001dB,8.99297519972213e+001°)
1.28824955169313e+000	(-8.78570093821968e+001dB,8.99281157127324e+001°)
1.31825673855641e+000	(-8.76570097043710e+001dB,8.99264413144029e+001°)
1.34896288259165e+000	(-8.74570100417289e+001dB,8.99247279144561e+001°)
1.38038426460288e+000	(-8.72570103949858e+001dB,8.99229746044370e+001°)
1.41253754462275e+000	(-8.70570107648912e+001dB,8.99211804547306e+001°)
1.44543977074593e+000	(-8.68570111522297e+001dB,8.99193445140689e+001°)
1.47910838816821e+000	(-8.66570115578229e+001dB,8.99174658090270e+001°)
1.51356124843621e+000	(-8.64570119825310e+001dB,8.99155433435068e+001°)
1.54881661891248e+000	(-8.62570124272550e+001dB,8.99135760982091e+001°)
1.58489319246111e+000	(-8.60570128929381e+001dB,8.99115630300927e+001°)
1.62181009735893e+000	(-8.58570133805681e+001dB,8.99095030718224e+001°)
1.65958690743756e+000	(-8.56570138911794e+001dB,8.99073951312022e+001°)
1.69824365246174e+000	(-8.54570144258550e+001dB,8.99052380905969e+001°)
1.73780082874937e+000	(-8.52570149857290e+001dB,8.99030308063397e+001°)
1.77827941003892e+000	(-8.50570155719889e+001dB,8.99007721081252e+001°)
1.81970085860998e+000	(-8.48570161858784e+001dB,8.98984607983900e+001°)
1.86208713666287e+000	(-8.46570168286995e+001dB,8.98960956516772e+001°)
1.90546071796325e+000	(-8.44570175018157e+001dB,8.98936754139869e+001°)
1.94984459975804e+000	(-8.42570182066547e+001dB,8.98911988021116e+001°)
1.99526231496888e+000	(-8.40570189447117e+001dB,8.98886645029560e+001°)
2.04173794466953e+000	(-8.38570197175522e+001dB,8.98860711728408e+001°)
2.08929613085404e+000	(-8.36570205268153e+001dB,8.98834174367906e+001°)
2.13796208950223e+000	(-8.34570213742176e+001dB,8.98807018878049e+001°)
2.18776162394955e+000	(-8.32570222615566e+001dB,8.98779230861125e+001°)
2.23872113856834e+000	(-8.30570231907144e+001dB,8.98750795584085e+001°)
2.29086765276777e+000	(-8.28570241636619e+001dB,8.98721697970727e+001°)
2.34422881531992e+000	(-8.26570251824627e+001dB,8.98691922593713e+001°)
2.39883291901949e+000	(-8.24570262492779e+001dB,8.98661453666387e+001°)
2.45470891568503e+000	(-8.22570273663703e+001dB,8.98630275034411e+001°)
2.51188643150958e+000	(-8.20570285361093e+001dB,8.98598370167201e+001°)
2.57039578276886e+000	(-8.18570297609760e+001dB,8.98565722149164e+001°)
2.63026799189538e+000	(-8.16570310435686e+001dB,8.98532313670739e+001°)
2.69153480392691e+000	(-8.14570323866075e+001dB,8.98498127019217e+001°)
2.75422870333816e+000	(-8.12570337929414e+001dB,8.98463144069358e+001°)
2.81838293126445e+000	(-8.10570352655533e+001dB,8.98427346273782e+001°)
2.88403150312660e+000	(-8.08570368075667e+001dB,8.98390714653142e+001°)
2.95120922666638e+000	(-8.06570384222524e+001dB,8.98353229786067e+001°)
3.01995172040201e+000	(-8.04570401130353e+001dB,8.98314871798869e+001°)
3.09029543251359e+000	(-8.02570418835015e+001dB,8.98275620355012e+001°)
3.16227766016837e+000	(-8.00570437374065e+001dB,8.98235454644334e+001°)
3.23593656929628e+000	(-7.98570456786826e+001dB,8.98194353372024e+001°)
3.31131121482591e+000	(-7.96570477114472e+001dB,8.98152294747337e+001°)
3.38844156139202e+000	(-7.94570498400120e+001dB,8.98109256472047e+001°)
3.46736850452531e+000	(-7.92570520688919e+001dB,8.98065215728635e+001°)
3.54813389233575e+000	(-7.90570544028144e+001dB,8.98020149168199e+001°)
3.63078054770101e+000	(-7.88570568467300e+001dB,8.97974032898083e+001°)
3.71535229097172e+000	(-7.86570594058222e+001dB,8.97926842469223e+001°)
3.80189396320560e+000	(-7.84570620855192e+001dB,8.97878552863190e+001°)
3.89045144994280e+000	(-7.82570648915046e+001dB,8.97829138478941e+001°)
3.98107170553496e+000	(-7.80570678297301e+001dB,8.97778573119260e+001°)
4.07380277804112e+000	(-7.78570709064278e+001dB,8.97726829976874e+001°)
4.16869383470335e+000	(-7.76570741281234e+001dB,8.97673881620263e+001°)
4.26579518801592e+000	(-7.74570775016503e+001dB,8.97619699979127e+001°)
4.36515832240165e+000	(-7.72570810341638e+001dB,8.97564256329521e+001°)
4.46683592150962e+000	(-7.70570847331565e+001dB,8.97507521278643e+001°)
4.57088189614874e+000	(-7.68570886064740e+001dB,8.97449464749272e+001°)
4.67735141287197e+000	(-7.66570926623315e+001dB,8.97390055963840e+001°)
4.78630092322637e+000	(-7.64570969093317e+001dB,8.97329263428133e+001°)
4.89778819368445e+000	(-7.62571013564824e+001dB,8.97267054914624e+001°)
5.01187233627271e+000	(-7.60571060132160e+001dB,8.97203397445404e+001°)
5.12861383991364e+000	(-7.58571108894093e+001dB,8.97138257274732e+001°)
5.24807460249771e+000	(-7.56571159954046e+001dB,8.97071599871166e+001°)
5.37031796370252e+000	(-7.54571213420317e+001dB,8.97003389899290e+001°)
5.49540873857623e+000	(-7.52571269406305e+001dB,8.96933591201012e+001°)
5.62341325190348e+000	(-7.50571328030753e+001dB,8.96862166776431e+001°)
5.75439937337156e+000	(-7.48571389418002e+001dB,8.96789078764255e+001°)
5.88843655355588e+000	(-7.46571453698250e+001dB,8.96714288421772e+001°)
6.02559586074356e+000	(-7.44571521007831e+001dB,8.96637756104355e+001°)
6.16595001861481e+000	(-7.42571591489503e+001dB,8.96559441244485e+001°)
6.30957344480192e+000	(-7.40571665292751e+001dB,8.96479302330299e+001°)
