time	V(a)
0.000000000000000e+000	0.000000e+000
3.999999886872274e-009	8.000000e-006
5.000000000000000e-004	1.000000e+000
5.055000002202322e-004	9.890000e-001
5.385000015416256e-004	9.230000e-001
1.000000000000000e-003	0.000000e+000
1.000290400006128e-003	5.808000e-004
1.002032800042898e-003	4.065600e-003
1.500000000000002e-003	1.000000e+000
1.505500000260043e-003	9.890000e-001
1.538500001820287e-003	9.230000e-001
2.000000000000002e-003	4.440892e-016
2.000290400008232e-003	5.808000e-004
2.002032800057613e-003	4.065600e-003
2.500000000000004e-003	1.000000e+000
2.505500000260045e-003	9.890000e-001
2.538500001820289e-003	9.230000e-001
3.000000000000004e-003	0.000000e+000
3.000290400008234e-003	5.808000e-004
3.002032800057615e-003	4.065600e-003
3.500000000000006e-003	1.000000e+000
3.505500000260046e-003	9.890000e-001
3.538500001820291e-003	9.230000e-001
4.000000000000006e-003	0.000000e+000
4.000290400008237e-003	5.808000e-004
4.002032800057617e-003	4.065600e-003
4.500000000000008e-003	1.000000e+000
4.505500000260049e-003	9.890000e-001
4.538500001820293e-003	9.230000e-001
5.000000000000008e-003	0.000000e+000
5.000290400008239e-003	5.808000e-004
5.002032800057619e-003	4.065600e-003
5.500000000000010e-003	1.000000e+000
5.505500000260051e-003	9.890000e-001
5.538500001820294e-003	9.230000e-001
6.000000000000010e-003	0.000000e+000
6.000290400008240e-003	5.808000e-004
6.002032800057621e-003	4.065600e-003
6.500000000000012e-003	1.000000e+000
6.505500000260052e-003	9.890000e-001
6.538500001820297e-003	9.230000e-001
7.000000000000012e-003	0.000000e+000
7.000290400008243e-003	5.808000e-004
7.002032800057624e-003	4.065600e-003
7.500000000000015e-003	1.000000e+000
7.505500000260055e-003	9.890000e-001
7.538500001820299e-003	9.230000e-001
8.000000000000014e-003	0.000000e+000
8.000290400008244e-003	5.808000e-004
8.002032800057625e-003	4.065600e-003
8.500000000000016e-003	1.000000e+000
8.505500000260057e-003	9.890000e-001
8.538500001820300e-003	9.230000e-001
9.000000000000015e-003	0.000000e+000
9.000290400008245e-003	5.808000e-004
9.002032800057626e-003	4.065600e-003
9.500000000000017e-003	1.000000e+000
9.505500000260058e-003	9.890000e-001
9.538500001820303e-003	9.230000e-001
1.000000000000002e-002	0.000000e+000
1.000029040000825e-002	5.808000e-004
1.000203280005763e-002	4.065600e-003
1.050000000000002e-002	1.000000e+000
1.050550000026006e-002	9.890000e-001
1.053850000182030e-002	9.230000e-001
1.100000000000002e-002	0.000000e+000
1.100029040000825e-002	5.808000e-004
1.100203280005763e-002	4.065600e-003
1.150000000000002e-002	1.000000e+000
1.150550000026006e-002	9.890000e-001
1.153850000182031e-002	9.230000e-001
1.200000000000002e-002	0.000000e+000
1.200029040000825e-002	5.808000e-004
1.200203280005763e-002	4.065600e-003
1.250000000000002e-002	1.000000e+000
1.250550000026006e-002	9.890000e-001
1.253850000182031e-002	9.230000e-001
1.300000000000003e-002	0.000000e+000
1.300029040000826e-002	5.808000e-004
1.300203280005764e-002	4.065600e-003
1.350000000000003e-002	1.000000e+000
1.350550000026007e-002	9.890000e-001
1.353850000182031e-002	9.230000e-001
1.400000000000003e-002	0.000000e+000
1.400029040000826e-002	5.808000e-004
1.400203280005764e-002	4.065600e-003
1.450000000000003e-002	1.000000e+000
1.450550000026007e-002	9.890000e-001
1.453850000182031e-002	9.230000e-001
