time	V(a)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	1.000000e-005
1.999999943436137e-009	2.000000e-005
1.000000000000000e-004	1.000000e+000
1.022000006383465e-004	1.000000e+000
1.066000019150394e-004	1.000000e+000
5.000000000000000e-004	1.000000e+000
5.022000004910691e-004	9.780000e-001
5.066000014732070e-004	9.340000e-001
6.000000000000001e-004	0.000000e+000
6.000769560191601e-004	0.000000e+000
6.002308680574800e-004	0.000000e+000
1.000000000000000e-003	0.000000e+000
1.000242000002200e-003	2.420000e-003
1.000726000006600e-003	7.260000e-003
1.100000000000000e-003	1.000000e+000
1.102200000574560e-003	1.000000e+000
1.106600001723679e-003	1.000000e+000
1.500000000000000e-003	1.000000e+000
1.502200000491069e-003	9.780000e-001
1.506600001473208e-003	9.340000e-001
1.600000000000000e-003	0.000000e+000
1.600076956019160e-003	0.000000e+000
1.600230868057480e-003	0.000000e+000
2.000000000000000e-003	0.000000e+000
2.000242000002200e-003	2.420000e-003
2.000726000006600e-003	7.260000e-003
2.100000000000000e-003	1.000000e+000
2.102200000574560e-003	1.000000e+000
2.106600001723680e-003	1.000000e+000
2.500000000000000e-003	1.000000e+000
2.502200000491069e-003	9.780000e-001
2.506600001473208e-003	9.340000e-001
2.600000000000000e-003	1.665335e-015
2.600076956019160e-003	5.551115e-016
2.600230868057480e-003	0.000000e+000
3.000000000000000e-003	0.000000e+000
3.000242000002200e-003	2.420000e-003
3.000726000006600e-003	7.260000e-003
3.100000000000000e-003	1.000000e+000
3.102200000574560e-003	1.000000e+000
3.106600001723680e-003	1.000000e+000
3.500000000000000e-003	1.000000e+000
3.502200000491069e-003	9.780000e-001
3.506600001473208e-003	9.340000e-001
3.600000000000000e-003	1.665335e-015
3.600076956019160e-003	5.551115e-016
3.600230868057480e-003	0.000000e+000
4.000000000000000e-003	0.000000e+000
4.000242000002200e-003	2.420000e-003
4.000726000006599e-003	7.260000e-003
4.100000000000000e-003	1.000000e+000
4.102200000574560e-003	1.000000e+000
4.106600001723680e-003	1.000000e+000
4.500000000000001e-003	1.000000e+000
4.502200000491070e-003	9.780000e-001
4.506600001473209e-003	9.340000e-001
4.600000000000000e-003	1.665335e-015
4.600076956019160e-003	5.551115e-016
4.600230868057480e-003	0.000000e+000
5.000000000000000e-003	0.000000e+000
5.000242000002200e-003	2.420000e-003
5.000726000006599e-003	7.260000e-003
5.100000000000000e-003	1.000000e+000
5.102200000574560e-003	1.000000e+000
5.106600001723680e-003	1.000000e+000
5.500000000000000e-003	1.000000e+000
5.502200000491070e-003	9.780000e-001
5.506600001473209e-003	9.340000e-001
5.600000000000000e-003	1.665335e-015
5.600076956019160e-003	5.551115e-016
5.600230868057480e-003	0.000000e+000
6.000000000000000e-003	0.000000e+000
6.000242000002200e-003	2.420000e-003
6.000726000006599e-003	7.260000e-003
6.100000000000000e-003	1.000000e+000
6.102200000574560e-003	1.000000e+000
6.106600001723680e-003	1.000000e+000
6.500000000000001e-003	1.000000e+000
6.502200000491070e-003	9.780000e-001
6.506600001473209e-003	9.340000e-001
6.600000000000000e-003	1.665335e-015
6.600076956019160e-003	5.551115e-016
6.600230868057480e-003	0.000000e+000
7.000000000000000e-003	0.000000e+000
7.000242000002200e-003	2.420000e-003
7.000726000006599e-003	7.260000e-003
7.100000000000000e-003	1.000000e+000
7.102200000574560e-003	1.000000e+000
7.106600001723680e-003	1.000000e+000
7.500000000000000e-003	1.000000e+000
7.502200000491070e-003	9.780000e-001
7.506600001473209e-003	9.340000e-001
7.600000000000000e-003	1.665335e-015
7.600076956019160e-003	5.551115e-016
7.600230868057480e-003	0.000000e+000
8.000000000000000e-003	0.000000e+000
8.000242000002201e-003	2.420000e-003
8.000726000006600e-003	7.260000e-003
8.100000000000000e-003	1.000000e+000
8.102200000574560e-003	1.000000e+000
8.106600001723681e-003	1.000000e+000
8.500000000000001e-003	1.000000e+000
8.502200000491070e-003	9.780000e-001
8.506600001473208e-003	9.340000e-001
8.600000000000000e-003	1.665335e-015
8.600076956019160e-003	5.551115e-016
8.600230868057479e-003	0.000000e+000
9.000000000000001e-003	0.000000e+000
9.000242000002202e-003	2.420000e-003
9.000726000006601e-003	7.260000e-003
9.100000000000000e-003	1.000000e+000
9.102200000574561e-003	1.000000e+000
9.106600001723681e-003	1.000000e+000
9.500000000000002e-003	1.000000e+000
9.502200000491071e-003	9.780000e-001
9.506600001473209e-003	9.340000e-001
9.600000000000001e-003	1.665335e-015
9.600076956019161e-003	5.551115e-016
9.600230868057480e-003	0.000000e+000
1.000000000000000e-002	1.421085e-014
1.000024200000220e-002	2.420000e-003
1.000072600000660e-002	7.260000e-003
1.010000000000000e-002	1.000000e+000
1.010220000057456e-002	1.000000e+000
1.010660000172368e-002	1.000000e+000
1.050000000000000e-002	1.000000e+000
1.050220000049107e-002	9.780000e-001
1.050660000147321e-002	9.340000e-001
1.060000000000000e-002	1.665335e-015
1.060007695601916e-002	5.551115e-016
1.060023086805748e-002	0.000000e+000
1.100000000000000e-002	0.000000e+000
1.100024200000220e-002	2.420000e-003
1.100072600000660e-002	7.260000e-003
1.110000000000000e-002	1.000000e+000
1.110220000057456e-002	1.000000e+000
1.110660000172368e-002	1.000000e+000
1.150000000000000e-002	1.000000e+000
1.150220000049107e-002	9.780000e-001
1.150660000147321e-002	9.340000e-001
1.160000000000000e-002	1.665335e-015
1.160007695601916e-002	5.551115e-016
1.160023086805748e-002	0.000000e+000
1.200000000000000e-002	0.000000e+000
1.200024200000220e-002	2.420000e-003
1.200072600000660e-002	7.260000e-003
1.210000000000000e-002	1.000000e+000
1.210220000057456e-002	1.000000e+000
1.210660000172368e-002	1.000000e+000
1.250000000000000e-002	1.000000e+000
1.250220000049107e-002	9.780000e-001
1.250660000147321e-002	9.340000e-001
1.260000000000000e-002	1.665335e-015
1.260007695601916e-002	5.551115e-016
1.260023086805748e-002	0.000000e+000
1.300000000000000e-002	0.000000e+000
1.300024200000220e-002	2.420000e-003
1.300072600000660e-002	7.260000e-003
1.310000000000000e-002	1.000000e+000
1.310220000057456e-002	1.000000e+000
1.310660000172368e-002	1.000000e+000
1.350000000000000e-002	1.000000e+000
1.350220000049107e-002	9.780000e-001
1.350660000147321e-002	9.340000e-001
1.360000000000000e-002	1.665335e-015
1.360007695601916e-002	5.551115e-016
1.360023086805748e-002	0.000000e+000
1.400000000000000e-002	2.842171e-014
1.400024200000220e-002	2.420000e-003
1.400072600000660e-002	7.260000e-003
1.410000000000000e-002	1.000000e+000
1.410220000057456e-002	1.000000e+000
1.410660000172368e-002	1.000000e+000
1.450000000000000e-002	1.000000e+000
1.450220000049107e-002	9.780000e-001
1.450660000147321e-002	9.340000e-001
1.460000000000000e-002	1.665335e-015
1.460007695601916e-002	5.551115e-016
1.460023086805748e-002	0.000000e+000
1.460115434028740e-002	0.000000e+000
1.500000000000000e-002	0.000000e+000
1.500024200000220e-002	2.420000e-003
1.500072600000660e-002	7.260000e-003
1.510000000000000e-002	1.000000e+000
1.510220000057456e-002	1.000000e+000
1.510660000172368e-002	1.000000e+000
1.550000000000000e-002	1.000000e+000
1.550220000049107e-002	9.780000e-001
1.550660000147321e-002	9.340000e-001
1.560000000000000e-002	1.665335e-015
1.560007695601916e-002	5.551115e-016
1.560023086805748e-002	0.000000e+000
1.600000000000000e-002	0.000000e+000
1.600024200000220e-002	2.420000e-003
1.600072600000660e-002	7.260000e-003
1.610000000000000e-002	1.000000e+000
1.610220000057456e-002	1.000000e+000
1.610660000172368e-002	1.000000e+000
1.650000000000000e-002	1.000000e+000
1.650220000049107e-002	9.780000e-001
1.650660000147321e-002	9.340000e-001
1.660000000000000e-002	1.665335e-015
1.660007695601916e-002	5.551115e-016
1.660023086805748e-002	0.000000e+000
1.700000000000000e-002	0.000000e+000
1.700024200000220e-002	2.420000e-003
1.700072600000660e-002	7.260000e-003
1.710000000000000e-002	1.000000e+000
1.710220000057456e-002	1.000000e+000
1.710660000172368e-002	1.000000e+000
1.750000000000000e-002	1.000000e+000
1.750220000049107e-002	9.780000e-001
1.750660000147321e-002	9.340000e-001
1.760000000000000e-002	1.665335e-015
1.760007695601916e-002	5.551115e-016
1.760023086805748e-002	0.000000e+000
1.800000000000000e-002	0.000000e+000
1.800024200000220e-002	2.420000e-003
1.800072600000660e-002	7.260000e-003
1.810000000000000e-002	1.000000e+000
1.810220000057456e-002	1.000000e+000
1.810660000172368e-002	1.000000e+000
1.850000000000000e-002	1.000000e+000
1.850220000049107e-002	9.780000e-001
1.850660000147321e-002	9.340000e-001
1.860000000000000e-002	1.665335e-015
1.860007695601916e-002	5.551115e-016
1.860023086805748e-002	0.000000e+000
1.900000000000000e-002	2.842171e-014
1.900024200000220e-002	2.420000e-003
1.900072600000661e-002	7.260000e-003
1.910000000000000e-002	1.000000e+000
1.910220000057456e-002	1.000000e+000
1.910660000172368e-002	1.000000e+000
1.950000000000000e-002	1.000000e+000
1.950220000049107e-002	9.780000e-001
1.950660000147321e-002	9.340000e-001
1.960000000000000e-002	1.665335e-015
